Paper,Passage,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Subject,Topic,Year,Image Url
GS1,,"According to the Environmental Protection Agency (EPA), which one of the following is the largest source of sulphur dioxide emissions?",Locomotives using fossil fuels,Ships using fossil fuels,Extraction of metals from ores,Power plants using fossil fuels,D,,Environment & Ecology and Disaster Management,Environmental Pollution,2024,
GS1,,"Consider the following statements:\nStatement-I: If the United States of America (USA) were to default on its debt, holders of US Treasury Bonds will not be able to exercise their claims to receive payment.\nStatement-II: The USA Government debt is not backed by any hard assets, but only by the faith of the Government.\nWhich one of the following is correct in respect of the above statements?",Both Statement-1 and Statement-II are correct and Statement-II explains Statement-I,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct",D,,Indian Economy,"WTO, IMF & Other Intl. Orgs & Agreements",2024,
GS1,,"Consider the following statements:\nStatement-I: Syndicated lending spreads the risk of borrower default across multiple lenders.\nStatement-II: The syndicated loan can be fixed amount/lump sum of funds, but cannot be a credit line.\nWhich one of the following is correct in respect of the above statements?",Both Statement-I and Statement-II are correct and Statement-I Statement-II explains,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct",C,,Indian Economy,Bank Classification,2024,
GS1,,Consider the following statements in respect of the digital rupee:\n1. It is a sovereign currency issued by the Reserve Bank of India (RBI) alignment with its monetary policy.\n2. It appears as a liability on the RBI's balance sheet.\n3. It is insured against inflation by its very design.\n4. It is freely convertible against commercial bank money and cash.\nWhich of the statements given above are correct?,1 and 2 only,1 and 3 only,2 and 4 only,"1, 2 and 4",D,,Indian Economy,Money: Barter to Bitcoins,2024,
GS1,,"With reference to ancient India, Gautama Buddha was generally known by which of the following epithets?\n1. Nayaputta\n2. Shakyamuni\n3. Tathagata\nSelect the correct answer using the code given below:",1 only,2 and 3 only,"1, 2 and 3",None of the above are epithets of Gautama Buddha,B,,Ancient India,Mauryan and Post-Mauryan Age,2024,
GS1,,Consider the following information:\nArchaeological Site State Description\n1. Chandraketugarh Odisha Trading Port town\n2. Inamgaon Maharashtra Chalcolithic site\n3. Mangadu Kerala Megalithic site\n4. Salihundam Andhra Pradesh Rock-cut shrines\nIn which of the above rows is the given information correctly matched?,1 and 2,2 and 3,3 and 4,1 and 4,B,,Ancient India,Prehistoric Period and Indus Valley Civilisation,2024,
GS1,,Who of the following rulers of medieval India gave permission to the Portuguese to build a fort at Bhatkal?,Krishnadevaraya,Narasimha Saluva,Muhammad Shah III,Yusuf Adil Shah,A,,Medieval India,Provincial Kingdoms in Medieval India,2024,
GS1,,"With reference to revenue collection by Cornwallis, consider the following statements:\n1. Under the Ryotwari Settlement of revenue collection, the peasants were exempted from revenue payment in case of bad harvests or natural calamities.\n2. Under the Permanent Settlement in Bengal, if the Zamindar failed to pay his revenues to the state, on or before the fixed date, he would be removed from his Zamindari.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,,Modern India,India in the 18th Century,2024,
GS1,,Consider the following statements:\n1. There are no parables in Upanishads.\n2. Upanishads were composed earlier than the Puranas.\nWhich of the statements given above is/are correct?,1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,,Ancient India,Vedic and Later Vedic Age,2024,
GS1,,Consider the following statements:\n1. India is a member of the International Grains Council.\n2. A country needs to be a member of the International Grains Council for exporting or importing rice and wheat.\nWhich of the statements given above is/are correct?,1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,,International Relations,International Groups and Political Organizations,2024,
GS1,,Which one of the following was the latest inclusion in the Intangible Cultural Heritage List of UNESCO?,Chhau dance,Durga puja,Garba dance,Kumbh mela,C,,Art & Culture,"Indian Traditions, Festivals, and Calendars",2024,
GS1,,Consider the following statements:\nStatement-I: There is instability and worsening security situation in the Sahel region.\nStatement-II: There have been military takeovers/coups d'état in several countries of the Sahel region in the recent past.\nWhich one of the following is correct in respect of the above statements?,Both Statement-I and Statement-II are correct and Statement-II explains Statement-I,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct",A,,Current Affairs and Miscellaneous,Current Affairs: World,2024,
GS1,,"Consider the following statements:\nStatement-I: India does not import apples from the United States of America.\nStatement-II: In India, the law prohibits the import of Genetically Modified food without the approval of the competent authority.\nWhich one of the following is correct in respect of the above statements?",Both Statement-I and Statement-II are correct and Statement-II explains Statement-I,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct",D,,Indian Economy,"WTO, IMF & Other Intl. Orgs & Agreements",2024,
GS1,,"With reference to the Speaker of the Lok Sabha, consider the following statements:\n1. He/She shall not preside.\n2. He/She shall not have the right to speak\n3. He/She shall not be entitled to vote on the resolution in the first instance.\nWhile any resolution for the removal of the Speaker of the Lok Sabha is under consideration\nWhich of the statements given above is/are correct?",1 only,1 and 2 only,2 and 3 only,"1, 2 and 3",A,,Indian Polity and Governance,Legislature,2024,
GS1,,"With reference to the Indian Parliament, consider the following statements:\n1. A bill pending in the Lok Sabha lapses on its dissolution.\n2. A bill passed by the Lok Sabha and pending in the Rajya Sabha lapses on the dissolution of the Lok Sabha.\n3. A bill in regard to which the President of India notified his/her intention to summon the Houses to a joint sitting lapses on the dissolution of the Lok Sabha.\nWhich of the statements given above is/are correct?",1 only,1 and 2,2 and 3,3 only,B,,Indian Polity and Governance,Legislature,2024,
GS1,,"With reference to the Parliament of India, consider the following statements:\n1. Prorogation of a House by the President of India does not require the advice of the Council of Ministers.\n2. Prorogation of a House is generally done after the House is adjourned sine die but there is no bar to the President of India proroguing the House which is in session.\n3. Dissolution of the Lok Sabha is done by the President of India who, save in exceptional circumstances, does so on the advice of the Council of Ministers.\nWhich of the statements given above is/are correct?",1 only,1 and 2,2 and 3,3 only,C,,Indian Polity and Governance,Legislature,2024,
GS1,,Consider the following statements:\nStatement-I: The European Parliament approved The Net-Zero Industry Act recently.\nStatement-II: The European Union intends to achieve carbon neutrality by 2040 and therefore aims to develop all of its own clean technology by that time.\nWhich one of the following is correct in respect of the above statements?,Both Statement-I and Statement-II are correct and Statement-I explains Statement-II,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-1 is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct",C,,Environment & Ecology and Disaster Management,Climate Change: Causes and Implications,2024,
GS1,,"Consider the following statements:\nStatement-I: Recently, Venezuela has achieved a rapid recovery from its economic crisis and succeeded in preventing its people from fleeing/emigrating to other countries.\nStatement-II: Venezuela has the world's largest oil reserves\nWhich one of the following is correct in respect of the above statements?",Both Statement-1 and Statement-II are correct and Statement-II explains Statement-I,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct",D,,Current Affairs and Miscellaneous,Current Affairs: World,2024,
GS1,,"With reference to the Digital India Land Records Modernisation Programme, consider the following statements:\n1. To implement the scheme, the Central Government provides 100% funding.\n2. Under the Scheme, Cadastral Maps are digitised.\n3. An initiative has been undertaken to transliterate the Records of Rights from local language to any of the languages recognized by the Constitution of India.\nWhich of the statements given above are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,,Indian Polity and Governance,Governance,2024,
GS1,,"With reference to the 'Pradhan Mantri Surakshit Matritva Abhiyan', consider the following statements:\n1. This scheme guarantees a minimum package of antenatal care services to women in their second and third trimesters of pregnancy and six months post-delivery health care service in any government health facility.\n2. Under this scheme, private sector health care providers of certain specialities can volunteer to provide services at nearby government health facilities.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,,Indian Polity and Governance,Governance,2024,
GS1,,"With reference to the Pradhan Mantri Shram Yogi Maan-dhan (PM-SYM) Yojana, consider the following statements:\n1. The entry age group for enrolment in the scheme is 21 to 40 years.\n2. Age specific contribution shall be made by the beneficiary.\n3. Each subscriber under the scheme shall receive a minimum pension of 3,000 per month after attaining the age of 60 years.\n4. Family pension is applicable to the spouse and unmarried daughters.\nWhich of the statements given above is/are correct?","1,3 and 4",2 and 3 only,2 only,"1, 2 and 4",B,,Indian Polity and Governance,Governance,2024,
GS1,,Consider the following statements :\nStatement-I: The atmosphere is heated more by incoming solar radiation than by terrestrial radiation.\nStatement-II : Carbon dioxide and other greenhouse gases in the atmosphere good absorbers of long wave radiation\nWhich one of the following is correct in respect of the above statements?,Both Statement-I and Statement-II are correct and Statement-II explains Statement-I,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct",D,,World Geography,Climatology,2024,
GS1,,"Consider the following statements :\nStatement-I: Thickness of the troposphere at the equator is much greater as compared to poles.\nStatement-II: At the equator, heat is transported to great heights by strong convectional currents.\nWhich one of the following is correct in respect of the above statements?",Both Statement-I and Statement-II are correct and Statement-II explains Statement-I,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct",A,,World Geography,Climatology,2024,
GS1,,Consider the following :\n1. Pyroclastic debris 2. Ash and dust\n3. Nitrogen compounds 4. Sulphur compounds\nHow many of the above are products of volcanic eruptions?,Only one,Only two,Only three,All four,D,,World Geography,Geomorphology,2024,
GS1,,"Which of the following is/are correct inference/inferences from isothermal maps in the month of January?\n1. The isotherms deviate to the north over the ocean and to the south over the continent.\n2. The presence of cold ocean currents, Gulf Stream and North Atlantic Drift make the North Atlantic Ocean colder and the isotherms bend towards the north.\nSelect the answer using the code given below :",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,,World Geography,Climatology,2024,
GS1,,Which of the following countries are well known as the two largest cocoa producers in the world?,Algeria and Morocco,Botswana and Namibia,Code d'Ivoire and Ghana,Madagascar and Mozambique,C,,World Geography,Human and Economic Geography,2024,
GS1,,"With reference to the Himalayan rivers Joining the Ganga downstream of Prayagraj from West to East, which one of the following sequences is correct?",Ghaghara — Gomati — Gandak — Kosi,Gomati — Ghaghara — Gandak - Kosi,Ghaghara — Gomati — Kosi - Gandak,Gomati — Ghaghara — Kosi - Gandak,B,,Indian Geography,Drainage System of India,2024,
GS1,,"Consider the following statements :\nStatement-I: Rainfall is one""of the reasons for weathering of rocks.\nStatement-II: Rain water contains carbon dioxide in solution.\nStatement-III: Rain water contains atmospheric oxygen.\nWhich one of the following is correct in respect of the above statements?",Both Statement-II and Statement-III are correct and both of them explain Statement-I,"Both Statement-II and Statement-III are correct, but only one of them explains Statement-I",Only one of the Statements II and III is correct and that explains Statement-I,Neither Statement-II nor Statement-III is correct,A,,World Geography,Geomorphology,2024,
GS1,,Consider the following countries :\n1. Finland 2. Germany\n3. Norway 4. Russia\nHow many of the above countries have a border with the North Sea?,Only one,Only two,Only three,All four,B,,World Geography,World Map,2024,
GS1,,Consider the following information :\nWaterfall Region River\n1. Dhuandhar Malwa Narmada\n2. Hundru Chota Nagpur Subarnarekha\n3. Gersoppa Western Ghats Netravati\nIn how many of the above rows is the given information correctly matched?,Only one,Only two,All three,None,A,,Indian Geography,Physiography of India,2024,
GS1,,Consider the following information:\n\nRegion Name of the mountain range Type of mountain\n1. Central Asia Vosges Fold mountain\n2. Europe Alps Block mountain\n3. North America Appalachians Fold mountain\n4. South America Andes Fold mountain\n\nIn how many of the above rows is the given information correctly matched?,Only one,Only two,Only three,All four,B,,World Geography,Geomorphology,2024,
GS1,,"The Organisms 'Cicada, Froghopper and Pond Skater' are:\n(a) Birds\n(b) Fish\n(c) Insects\n(d) Reptiles",Birds,Fish,Insects,Reptiles,C,,Science & Tech and Basic Science,Biology,2024,
GS1,,"Consider the following statements:\nStatement-I: Many chewing gums found in the market are considered a source of environmental pollution.\nStatement-II: Many chewing gums contain plastic as gum base.\nWhich one of the following is correct in respect of the above statements?\n(a) Both Statement-I and Statement-II are correct and Statement-II explains Statement-I\n(b) Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I\n(c) Statement-I is correct, but Statement-II is incorrect\n(d) Statement-I is incorrect, but Statement-II is correct",Both Statement-I and Statement-II are correct and Statement-II explains Statement-I,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct",A,,Environment & Ecology and Disaster Management,Environmental Pollution,2024,
GS1,,Consider the following pairs:\nCountry - Animal found in its natural habitat\n1. Brazil - Indri\n2. Indonesia - Elk\n3. Madagascar - Bonobo\nHow many of the pairs given above are correctly matched?\n(a) Only one\n(b) Only two\n(c) All three\n(d) None,Only one,Only two,All three,None,D,,Science & Tech and Basic Science,Biology,2024,
GS1,,"Consider the following statements regarding World Toilet Organization:\n1. It is one of the agencies of the United Nations.\n2. World Toilet Summit, World Toilet Day and World Toilet College are the initiatives of this organization, to inspire action to tackle the global sanitation crisis.\n3. The main focus of its function is to grant funds to the least developed countries and developing countries to achieve the end of open defecation.\nWhich of the statements given above is/are correct?\n(a) 2 only\n(b) 3 only\n(c) 1 and 2\n(d) 2 and 3",2 only,3 only,1 and 2,2 and 3,A,,International Relations,International Groups and Political Organizations,2024,
GS1,,"Consider the following statements:\n1. Lions do not have a particular breeding season.\n2. Unlike most other big cats, cheetahs do not roar.\n3. Unlike male lions, male leopards do not proclaim their territory by scent marking.\nWhich of the statements given above are correct?\n(a) 1 and 2 only\n(b) 2 and 3 only\n(c) 1 and 3 only\n(d) 1, 2 and 3",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A,,Science & Tech and Basic Science,Biology,2024,
GS1,,"Which one of the following is the correct description of '100 Million Farmers'?\n(a) It is a platform for accelerating the transition towards food and water Systems that are net-zero (carbon), nature-positive and that aims to increase farmer resilience.\n(b) It is an international alliance and a network of individuals and farming organisations interested in supporting and Strengthening the development of the organic animal husbandry.\n(c) It is a digital platform fully integrated with service providers and built on blockchain that lets buyers, sellers and third parties trade fertilizers quickly and securely.\n(d) It is a platform with the mission of encouraging the farmers to form Farmer Product Organisations or Agribusiness Consortiums, thus facilitating the access to global open markets to sell their products.","It is a platform for accelerating the transition towards food and water Systems that are net-zero (carbon), nature-positive and that aims to increase farmer resilience.",It is an international alliance and a network of individuals and farming organisations interested in supporting and Strengthening the development of the organic animal husbandry.,"It is a digital platform fully integrated with service providers and built on blockchain that lets buyers, sellers and third parties trade fertilizers quickly and securely.","It is a platform with the mission of encouraging the farmers to form Farmer Product Organisations or Agribusiness Consortiums, thus facilitating the access to global open markets to sell their products.",A,,Indian Economy,Sectors of Economy - Agriculture,2024,
GS1,,Consider the following:\n1. Battery storage\n2. Biomass generators\n3. Fuel cells\n4. Rooftop solar photovoltaic units\nHow many of the above are considered 'Distributed Energy Resources'?\n(a) Only one\n(b) Only two\n(c) Only three\n(d) All four,Only one,Only two,Only three,All four,D,,Science & Tech and Basic Science,Energy,2024,
GS1,,Which one of the following shows a unique relationship with an insect that has coevolved with it and that is the only insect that can pollinate this tree?\n(a) Fig\n(b) Mahua\n(c) Sandalwood\n(d) Silk cotton,Fig,Mahua,Sandalwood,Silk cotton,A,,Science & Tech and Basic Science,Biology,2024,
GS1,,Consider the following:\n1. Butterflies\n2. Fish\n3. Frogs\nHow many of the above have poisonous species among them?\n(a) Only one\n(b) Only two\n(c) All three\n(d) None,Only one,Only two,All three,None,C,,Science & Tech and Basic Science,Biology,2024,
GS1,,Consider the following:\n1. Cashew\n2. Papaya\n3. Red sanders\nHow many of the above trees are actually native to India?\n(a) Only one\n(b) Only two\n(c) All three\n(d) None,Only one,Only two,All three,None,A,,Indian Geography,Natural Vegetation in India,2024,
GS1,,"Consider the following airports:\n1. Donyi Polo Airport\n2. Kushinagar International Airport\n3. Vijayawada International Airport\n\nIn the recent past, which of the above have been constructed as Greenfield Projects?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A,,Indian Economy,"Infrastructure: Transport, Urban Rural, Communication, Investment, PPP",2024,
GS1,,"With reference to 'water vapour', which of the following statements is/are correct?\n1. It is a gas, the amount of which decreases with altitude.\n2. Its percentage is maximum at the poles",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,,Indian Geography,Indian Climate,2024,
GS1,,Consider the following description:\n1. Annual and daily range of temperatures is low.\n2. Precipitation occurs throughout the year.\n3. Precipitation varies between 50 cm - 250 cm.\n\nWhat is this type of climate?,Equatorial climate,China type climate,Humid subtropical climate,Marine West coast climate,D,,World Geography,World Climatic Regions,2024,
GS1,,"With reference to 'Coriolis force', which of the following statements is/are correct?\n1. It increases with increase in wind velocity\n2. It is maximum at the poles and is absent at the equator",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,,Indian Geography,Indian Climate,2024,
GS1,,"On June 21 every year, which of the following latitude(s) experience(s) a sunlight of more than 12 hours?\n1. Equator\n2. Tropic of Cancer\n3. Tropic of Capricorn\n4. Arctic Circle",1 only,2 only,3 and 4,2 and 4,D,,World Geography,The Earth and the Universe,2024,
GS1,,"One of the following regions has the world's largest tropical peatland, which holds about three years worth of global carbon emissions from fossil fuels; and the possible destruction of which can exert detrimental effect on the global climate. Which one of the following denotes that region?",Amazon Basin,Congo Basin,Kikori Basin,Rio de la Plata Basin,B,,Environment & Ecology and Disaster Management,Biodiversity,2024,
GS1,,"With reference to perfluoroalkyl and Polyfluoroalkyl substances (PFAS) that are used in making many consumer products, consider the following statements:\n1. PFAS are found to be widespread in drinking water, food and food packaging material.\n2. PFAS are not easily degraded in the environment.\n3. Persistent exposure to PFAS can lead to bioaccumulation in animal bodies.",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,,Environment & Ecology and Disaster Management,Environmental Pollution,2024,
GS1,,Consider the following:\n1. Carabid beetles\n2. Centipedes\n3. Flies\n4. Termites\n5. Wasps\n\nParasitoid species are found in how many of the above kind of organisms?,Only two,Only three,Only four,All five,B,,Science & Tech and Basic Science,Biology,2024,
GS1,,Consider the following plants:\n1. Groundnut\n2. Horse-gram\n3. Soybean\n\nHow many of the above belong to the pea family?,Only one,Only two,All three,None,C,,Science & Tech and Basic Science,Biology,2024,
